# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.8500,-1.8600,1.3000,1.3000
-4.8500,-1.9100,1.3000,1.3000
-4.8500,-1.9600,1.3000,1.3000
-4.8500,-2.0100,1.3000,1.3000
-4.8500,-2.0600,1.3000,1.3000
-4.8500,-2.1100,1.3000,1.3000
-4.8500,-2.1600,1.3000,1.3000
-4.8500,-2.2100,1.3000,1.3000
-4.8500,-2.2600,1.3000,1.3000
-4.8500,-2.3100,1.3000,1.3000
-4.8500,-2.3600,1.3000,1.3000
-4.8500,-2.4100,1.3000,1.3000
-4.8500,-2.4600,1.3000,1.3000
-4.8500,-2.5100,1.3000,1.3000
-4.8500,-2.5600,1.3000,1.3000
-4.8500,-2.6100,1.3010,1.3010
-4.8500,-2.6600,1.3038,1.3038
-4.8500,-2.7100,1.3086,1.3086
-4.8500,-2.7600,1.3153,1.3153
-4.8500,-2.8100,1.3238,1.3238
-4.8500,-2.8600,1.3342,1.3342
-4.8500,-2.9100,1.3463,1.3463
-4.8500,-2.9600,1.3500,1.3500
-4.8500,-3.0100,1.3500,1.3500
-4.8500,-3.0600,1.3500,1.3500
-4.8500,-3.1100,1.3500,1.3500
-4.8500,-3.1600,1.3509,1.3509
-4.8500,-3.2100,1.3537,1.3537
-4.8500,-3.2600,1.3583,1.3583
-4.8500,-3.3100,1.3647,1.3647
-4.8500,-3.3600,1.3730,1.3730
-4.8500,-3.4100,1.3829,1.3829
-4.8500,-3.4600,1.3946,1.3946
-4.8500,-3.5100,1.4000,1.4000
-4.8500,-3.5600,1.4000,1.4000
-4.8500,-3.6100,1.4000,1.4000
-4.8500,-3.6600,1.4000,1.4000
-4.8500,-3.7100,1.4000,1.4000
-4.8500,-3.7600,1.4000,1.4000
-4.8000,-3.8100,1.4500,1.4500
-4.7500,-3.8600,1.5000,1.5000
-4.7000,-3.9100,1.4916,1.4916
-4.6500,-3.9600,1.4318,1.4318
-4.6000,-3.9600,1.4221,1.4221
-4.5500,-4.0100,1.3647,1.3647
-4.5000,-4.0100,1.3583,1.3583
-4.4500,-4.0100,1.3537,1.3537
-4.4000,-4.0100,1.3509,1.3509
-4.3500,-4.0600,1.3000,1.3000
-4.3000,-4.0600,1.3000,1.3000
-4.2500,-4.0600,1.3000,1.3000
-4.2000,-4.0600,1.3000,1.3000
-4.1500,-4.0600,1.3000,1.3000
-4.1000,-4.0600,1.3000,1.3000
-4.0500,-4.0600,1.3000,1.3000
-4.0000,-4.0600,1.3000,1.3000
-3.9500,-4.0600,1.3000,1.3000
-3.9000,-4.0600,1.3000,1.3000
-3.8500,-4.0600,1.3000,1.3000
-3.8000,-4.0600,1.3000,1.3000
-3.7500,-4.0600,1.3000,1.3000
-3.7000,-4.0600,1.3000,1.3000
-3.6500,-4.0600,1.3000,1.3000
-3.6000,-4.0600,1.3000,1.3000
-3.5500,-4.0600,1.3000,1.3000
-3.5000,-4.0600,1.3000,1.3000
-3.4500,-4.0600,1.3000,1.3000
-3.4000,-4.0600,1.3000,1.3000
-3.3500,-4.0600,1.3000,1.3000
-3.3000,-4.0600,1.3000,1.3000
-3.2500,-4.0600,1.3000,1.3000
-3.2000,-4.0600,1.3000,1.3000
-3.1500,-4.0600,1.3000,1.3000
-3.1000,-4.0600,1.3000,1.3000
-3.0500,-4.0600,1.3010,1.3010
-3.0000,-4.0600,1.3038,1.3038
-2.9500,-4.0600,1.3086,1.3086
-2.9000,-4.0600,1.3153,1.3153
-2.8500,-4.0600,1.3238,1.3238
-2.8000,-4.0100,1.3601,1.3601
-2.7500,-4.0100,1.3757,1.3757
-2.7000,-4.0100,1.3928,1.3928
-2.6500,-4.0100,1.4000,1.4000
-2.6000,-4.0100,1.4000,1.4000
-2.5500,-4.0100,1.4000,1.4000
-2.5000,-4.0100,1.3946,1.3946
-2.4500,-4.0100,1.3829,1.3829
-2.4000,-4.0100,1.3730,1.3730
-2.3500,-4.0100,1.3647,1.3647
-2.3000,-4.0100,1.3583,1.3583
-2.2500,-4.0100,1.3537,1.3537
-2.2000,-4.0100,1.3509,1.3509
-2.1500,-4.0100,1.3500,1.3500
-2.1000,-4.0100,1.3500,1.3500
-2.0500,-4.0100,1.3500,1.3500
-2.0000,-3.9600,1.3946,1.3946
-1.9500,-3.9600,1.3829,1.3829
-1.9000,-3.9100,1.4221,1.4221
-1.8500,-3.9100,1.4142,1.4142
-1.8000,-3.9100,1.4080,1.4080
-1.7500,-3.8600,1.4534,1.4534
-1.7000,-3.8600,1.4509,1.4509
-1.6500,-3.8600,1.4500,1.4500
-1.6000,-3.8100,1.5000,1.5000
-1.5500,-3.7600,1.5500,1.5500
-1.5000,-3.7100,1.6000,1.6000
-1.4500,-3.7100,1.6000,1.6000
-1.4000,-3.7100,1.6000,1.6000
-1.3500,-3.7100,1.6000,1.6000
-1.3000,-3.7100,1.6000,1.6000
-1.2500,-3.7100,1.6000,1.6000
-1.2000,-3.7100,1.5890,1.5890
-1.1500,-3.7100,1.5788,1.5788
-1.1000,-3.6600,1.6194,1.6194
-1.0500,-3.6600,1.6125,1.6125
-1.0000,-3.6600,1.6070,1.6070
-0.9500,-3.6600,1.6031,1.6031
-0.9000,-3.6600,1.6008,1.6008
-0.8500,-3.6600,1.6000,1.6000
-0.8000,-3.6600,1.6000,1.6000
-0.7500,-3.6600,1.6000,1.6000
-0.7000,-3.6600,1.6000,1.6000
-0.6500,-3.6600,1.6000,1.6000
-0.6000,-3.6600,1.6000,1.6000
-0.5500,-3.6600,1.6000,1.6000
-0.5000,-3.6100,1.6378,1.6378
-0.4500,-3.6100,1.6492,1.6492
-0.4000,-3.6100,1.6500,1.6500
-0.3500,-3.6100,1.6500,1.6500
-0.3000,-3.5600,1.6000,1.6000
-0.2500,-3.5600,1.6000,1.6000
-0.2000,-3.5600,1.6000,1.6000
-0.1500,-3.5100,1.5508,1.5508
-0.1000,-3.4600,1.5033,1.5033
-0.0500,-3.4600,1.5075,1.5075
0.0000,-3.4100,1.4637,1.4637
0.0500,-3.3600,1.4221,1.4221
0.1000,-3.3100,1.3829,1.3829
0.1500,-3.2600,1.3463,1.3463
0.2000,-3.2100,1.3000,1.3000
0.2000,-3.1600,1.2500,1.2500
0.2500,-3.1100,1.2000,1.2000
0.3000,-3.1100,1.2000,1.2000
0.3500,-3.0600,1.1500,1.1500
0.4000,-3.0600,1.1500,1.1500
0.4500,-3.0100,1.1000,1.1000
0.5000,-3.0100,1.1000,1.1000
0.5500,-3.0100,1.1000,1.1000
0.6000,-2.9600,1.0500,1.0500
0.6500,-2.9600,1.0500,1.0500
0.7000,-2.9100,1.0000,1.0000
0.7500,-2.9100,1.0000,1.0000
0.8000,-2.9100,1.0000,1.0000
0.8500,-2.9100,1.0000,1.0000
0.9000,-2.9100,1.0000,1.0000
0.9500,-2.9100,1.0000,1.0000
1.0000,-2.9100,1.0000,1.0000
1.0500,-2.9100,1.0000,1.0000
1.1000,-2.9100,1.0000,1.0000
1.1500,-2.9100,1.0000,1.0000
1.2000,-2.9100,1.0000,1.0000
1.2500,-2.9100,1.0000,1.0000
1.3000,-2.9100,1.0000,1.0000
1.3500,-2.9100,1.0000,1.0000
1.4000,-2.9100,1.0000,1.0000
1.4500,-2.9100,1.0000,1.0000
1.5000,-2.9100,1.0012,1.0012
1.5500,-2.9100,1.0000,1.0000
1.6000,-2.9100,1.0000,1.0000
1.6500,-2.9100,1.0000,1.0000
1.7000,-2.9100,1.0000,1.0000
1.7500,-2.9100,1.0000,1.0000
1.8000,-2.9100,1.0000,1.0000
1.8500,-2.9100,1.0000,1.0000
1.9000,-2.9100,1.0000,1.0000
1.9500,-2.9100,1.0000,1.0000
2.0000,-2.9100,1.0000,1.0000
2.0500,-2.9100,1.0000,1.0000
2.1000,-2.9100,1.0000,1.0000
2.1500,-2.9100,1.0000,1.0000
2.2000,-2.9100,1.0000,1.0000
2.2500,-2.9100,1.0000,1.0000
2.3000,-2.9100,1.0000,1.0000
2.3500,-2.9100,1.0000,1.0000
2.4000,-2.9100,1.0000,1.0000
2.4500,-2.9100,1.0000,1.0000
2.5000,-2.9100,1.0000,1.0000
2.5500,-2.9600,1.0500,1.0500
2.6000,-2.9600,1.0500,1.0500
2.6500,-2.9600,1.0500,1.0500
2.7000,-3.0100,1.1000,1.1000
2.7500,-3.0100,1.1000,1.1000
2.8000,-3.0100,1.1000,1.1000
2.8500,-3.0600,1.1511,1.1511
2.9000,-3.0600,1.1543,1.1543
2.9500,-3.1100,1.2093,1.2093
3.0000,-3.1600,1.2659,1.2659
3.0500,-3.1600,1.2748,1.2748
3.1000,-3.2100,1.3342,1.3342
3.1500,-3.2600,1.3946,1.3946
3.2000,-3.3100,1.4500,1.4500
3.2500,-3.3600,1.5000,1.5000
3.3000,-3.4100,1.5500,1.5500
3.3500,-3.4600,1.6000,1.6000
3.4000,-3.4600,1.6000,1.6000
3.4500,-3.4600,1.6000,1.6000
3.5000,-3.4600,1.6000,1.6000
3.5500,-3.4600,1.6000,1.6000
3.6000,-3.5100,1.6500,1.6500
3.6500,-3.5100,1.6500,1.6500
3.7000,-3.5100,1.6500,1.6500
3.7500,-3.5100,1.6500,1.6500
3.8000,-3.5600,1.6279,1.6279
3.8500,-3.5600,1.6378,1.6378
3.9000,-3.5600,1.6492,1.6492
3.9500,-3.5600,1.6500,1.6500
4.0000,-3.5600,1.6500,1.6500
4.0500,-3.5600,1.6500,1.6500
4.1000,-3.5600,1.6500,1.6500
4.1500,-3.5600,1.6500,1.6500
4.2000,-3.5600,1.6500,1.6500
4.2500,-3.5600,1.6500,1.6500
4.3000,-3.5600,1.6500,1.6500
4.3500,-3.5600,1.6500,1.6500
4.4000,-3.5600,1.6500,1.6500
4.4500,-3.6100,1.6000,1.6000
4.5000,-3.6100,1.6000,1.6000
4.5500,-3.6100,1.6000,1.6000
4.6000,-3.6100,1.6000,1.6000
4.6500,-3.6600,1.5500,1.5500
4.7000,-3.6600,1.5500,1.5500
4.7500,-3.7100,1.5000,1.5000
4.8000,-3.7100,1.5000,1.5000
4.8500,-3.7600,1.4500,1.4500
4.9000,-3.7600,1.4500,1.4500
4.9500,-3.8100,1.4000,1.4000
5.0000,-3.8100,1.4000,1.4000
5.0500,-3.8100,1.4000,1.4000
5.1000,-3.8600,1.3500,1.3500
5.1500,-3.8600,1.3500,1.3500
5.2000,-3.8600,1.3500,1.3500
5.2500,-3.8600,1.3500,1.3500
5.3000,-3.8600,1.3500,1.3500
5.3500,-3.9100,1.3000,1.3000
5.4000,-3.9100,1.3000,1.3000
5.4500,-3.9100,1.3000,1.3000
5.5000,-3.9100,1.3000,1.3000
5.5500,-3.9100,1.3000,1.3000
5.6000,-3.9100,1.3000,1.3000
5.6500,-3.9100,1.3000,1.3000
5.7000,-3.9100,1.3000,1.3000
5.7500,-3.9100,1.3000,1.3000
5.8000,-3.9100,1.3000,1.3000
5.8500,-3.9100,1.3000,1.3000
5.9000,-3.9100,1.3000,1.3000
5.9500,-3.9100,1.3000,1.3000
6.0000,-3.9100,1.3000,1.3000
6.0500,-3.9100,1.3000,1.3000
6.1000,-3.9100,1.3000,1.3000
6.1500,-3.9100,1.3000,1.3000
6.2000,-3.9100,1.3000,1.3000
6.2500,-3.9100,1.3000,1.3000
6.3000,-3.9100,1.3000,1.3000
6.3500,-3.9100,1.3000,1.3000
6.4000,-3.9100,1.3000,1.3000
6.4500,-3.9100,1.3000,1.3000
6.5000,-3.9100,1.3000,1.3000
6.5500,-3.9100,1.3000,1.3000
6.6000,-3.9100,1.3000,1.3000
6.6500,-3.9100,1.3000,1.3000
6.7000,-3.8600,1.3086,1.3086
6.7500,-3.8600,1.3153,1.3153
6.8000,-3.8600,1.3238,1.3238
6.8500,-3.8600,1.3342,1.3342
6.9000,-3.8600,1.3463,1.3463
6.9500,-3.8600,1.3509,1.3509
7.0000,-3.8600,1.3537,1.3537
7.0500,-3.8600,1.3583,1.3583
7.1000,-3.8600,1.3647,1.3647
7.1500,-3.8600,1.3730,1.3730
7.2000,-3.8600,1.3829,1.3829
7.2500,-3.8600,1.3946,1.3946
7.3000,-3.8600,1.3946,1.3946
7.3500,-3.8600,1.3829,1.3829
7.4000,-3.8600,1.3730,1.3730
7.4500,-3.8600,1.3601,1.3601
7.5000,-3.8600,1.3463,1.3463
7.5500,-3.8600,1.3342,1.3342
7.6000,-3.8600,1.3238,1.3238
7.6500,-3.8600,1.3153,1.3153
7.7000,-3.8100,1.3583,1.3583
7.7500,-3.7600,1.4036,1.4036
7.8000,-3.7100,1.4509,1.4509
7.8500,-3.6600,1.5000,1.5000
7.9000,-3.6100,1.4807,1.4807
7.9500,-3.5600,1.4221,1.4221
8.0000,-3.5100,1.3647,1.3647
8.0000,-3.4600,1.3583,1.3583
8.0000,-3.4100,1.3537,1.3537
8.0000,-3.3600,1.3509,1.3509
8.0000,-3.3100,1.3500,1.3500
8.0000,-3.2600,1.3500,1.3500
8.0000,-3.2100,1.3500,1.3500
8.0000,-3.1600,1.3500,1.3500
8.0000,-3.1100,1.3500,1.3500
8.0000,-3.0600,1.3500,1.3500
8.0000,-3.0100,1.3500,1.3500
8.0000,-2.9600,1.3500,1.3500
8.0000,-2.9100,1.3500,1.3500
8.0000,-2.8600,1.3500,1.3500
8.0000,-2.8100,1.3500,1.3500
8.0000,-2.7600,1.3463,1.3463
8.0000,-2.7100,1.3342,1.3342
8.0000,-2.6600,1.3238,1.3238
8.0000,-2.6100,1.3153,1.3153
8.0000,-2.5600,1.3086,1.3086
8.0000,-2.5100,1.3038,1.3038
8.0000,-2.4600,1.3010,1.3010
8.0000,-2.4100,1.3000,1.3000
8.0000,-2.3600,1.2981,1.2981
8.0000,-2.3100,1.2855,1.2855
8.0000,-2.2600,1.2748,1.2748
8.0000,-2.2100,1.2659,1.2659
7.9500,-2.1600,1.2093,1.2093
7.9500,-2.1100,1.2042,1.2042
7.9500,-2.0600,1.2010,1.2010
7.9500,-2.0100,1.2000,1.2000
7.9500,-1.9600,1.2000,1.2000
7.9500,-1.9100,1.2000,1.2000
7.9500,-1.8600,1.2000,1.2000
7.9500,-1.8100,1.2000,1.2000
