# x_m,y_m,w_tr_right_m,w_tr_left_m
-15.4500,4.3600,1.8500,1.8500
-15.4500,4.3100,1.8500,1.8500
-15.4500,4.2600,1.8500,1.8500
-15.4500,4.2100,1.8500,1.8500
-15.4500,4.1600,1.8500,1.8500
-15.4500,4.1100,1.8500,1.8500
-15.4500,4.0600,1.8500,1.8500
-15.4500,4.0100,1.8500,1.8500
-15.5000,3.9600,1.9000,1.9000
-15.5000,3.9100,1.9000,1.9000
-15.5000,3.8600,1.9000,1.9000
-15.5000,3.8100,1.9000,1.9000
-15.4500,3.7600,1.8500,1.8500
-15.4500,3.7100,1.8500,1.8500
-15.4500,3.6600,1.8500,1.8500
-15.4500,3.6100,1.8500,1.8500
-15.4000,3.5600,1.8007,1.8007
-15.4000,3.5100,1.8028,1.8028
-15.4000,3.4600,1.8062,1.8062
-15.4000,3.4100,1.8111,1.8111
-15.3500,3.3600,1.7678,1.7678
-15.3000,3.3100,1.7263,1.7263
-15.3000,3.2600,1.7357,1.7357
-15.3000,3.2100,1.7464,1.7464
-15.2500,3.1600,1.7103,1.7103
-15.2500,3.1100,1.7241,1.7241
-15.2500,3.0600,1.7393,1.7393
-15.2000,3.0100,1.7088,1.7088
-15.2000,2.9600,1.7270,1.7270
-15.1500,2.9100,1.7007,1.7007
-15.1500,2.8600,1.6867,1.6867
-15.1000,2.8100,1.6492,1.6492
-15.1000,2.7600,1.6008,1.6008
-15.0500,2.7100,1.5572,1.5572
-15.0000,2.6600,1.5133,1.5133
-14.9500,2.6100,1.4714,1.4714
-14.9000,2.5600,1.4318,1.4318
-14.8500,2.5100,1.3946,1.3946
-14.8000,2.5100,1.4036,1.4036
-14.7500,2.4600,1.3583,1.3583
-14.7000,2.4600,1.3647,1.3647
-14.6500,2.4100,1.3238,1.3238
-14.6000,2.4100,1.3342,1.3342
-14.5500,2.3600,1.2981,1.2981
-14.5000,2.3600,1.3010,1.3010
-14.4500,2.3100,1.2540,1.2540
-14.4000,2.3100,1.2590,1.2590
-14.3500,2.2600,1.2166,1.2166
-14.3000,2.2600,1.2258,1.2258
-14.2500,2.2600,1.2369,1.2369
-14.2000,2.2100,1.2010,1.2010
-14.1500,2.2100,1.2042,1.2042
-14.1000,2.2100,1.2093,1.2093
-14.0500,2.2100,1.2166,1.2166
-14.0000,2.1600,1.1769,1.1769
-13.9500,2.1600,1.1885,1.1885
-13.9000,2.1600,1.2021,1.2021
-13.8500,2.1600,1.2093,1.2093
-13.8000,2.1600,1.2166,1.2166
-13.7500,2.1600,1.2176,1.2176
-13.7000,2.1600,1.2021,1.2021
-13.6500,2.1600,1.1885,1.1885
-13.6000,2.1600,1.1769,1.1769
-13.5500,2.1600,1.1673,1.1673
-13.5000,2.1100,1.2093,1.2093
-13.4500,2.1100,1.2042,1.2042
-13.4000,2.1100,1.2010,1.2010
-13.3500,2.1100,1.2000,1.2000
-13.3000,2.1100,1.2000,1.2000
-13.2500,2.1100,1.2000,1.2000
-13.2000,2.1100,1.2000,1.2000
-13.1500,2.1100,1.2000,1.2000
-13.1000,2.1100,1.2010,1.2010
-13.0500,2.1100,1.2042,1.2042
-13.0000,2.1100,1.2093,1.2093
-12.9500,2.1100,1.2166,1.2166
-12.9000,2.1100,1.2258,1.2258
-12.8500,2.0600,1.2510,1.2510
-12.8000,2.0600,1.2540,1.2540
-12.7500,2.0600,1.2590,1.2590
-12.7000,2.0600,1.2659,1.2659
-12.6500,2.0600,1.2748,1.2748
-12.6000,2.0600,1.2855,1.2855
-12.5500,2.0600,1.2981,1.2981
-12.5000,2.0600,1.3086,1.3086
-12.4500,2.0600,1.3153,1.3153
-12.4000,2.0600,1.3238,1.3238
-12.3500,2.0600,1.3342,1.3342
-12.3000,2.0600,1.3463,1.3463
-12.2500,2.0600,1.3601,1.3601
-12.2000,2.0600,1.3730,1.3730
-12.1500,2.0600,1.3829,1.3829
-12.1000,2.1100,1.4431,1.4431
-12.0500,2.1100,1.4500,1.4500
-12.0000,2.1100,1.4500,1.4500
-11.9500,2.1100,1.4500,1.4500
-11.9000,2.1100,1.4500,1.4500
-11.8500,2.1100,1.4509,1.4509
-11.8000,2.1100,1.4534,1.4534
-11.7500,2.1100,1.4577,1.4577
-11.7000,2.1100,1.4637,1.4637
-11.6500,2.1100,1.4714,1.4714
-11.6000,2.0600,1.5075,1.5075
-11.5500,2.0600,1.5133,1.5133
-11.5000,2.0600,1.5042,1.5042
-11.4500,2.0600,1.4916,1.4916
-11.4000,2.0100,1.4916,1.4916
-11.3500,2.0100,1.5033,1.5033
-11.3000,2.0100,1.5075,1.5075
-11.2500,1.9600,1.4637,1.4637
-11.2000,1.9600,1.4714,1.4714
-11.1500,1.9600,1.4807,1.4807
-11.1000,1.9600,1.4916,1.4916
-11.0500,1.9100,1.4560,1.4560
-11.0000,1.9100,1.4637,1.4637
-10.9500,1.9100,1.4714,1.4714
-10.9000,1.9100,1.4807,1.4807
-10.8500,1.9100,1.4916,1.4916
-10.8000,1.9100,1.5042,1.5042
-10.7500,1.9100,1.5133,1.5133
-10.7000,1.8600,1.4714,1.4714
-10.6500,1.8600,1.4807,1.4807
-10.6000,1.8600,1.4916,1.4916
-10.5500,1.8600,1.5042,1.5042
-10.5000,1.8600,1.4916,1.4916
-10.4500,1.8100,1.4807,1.4807
-10.4000,1.8100,1.4916,1.4916
-10.3500,1.8100,1.5042,1.5042
-10.3000,1.8100,1.5075,1.5075
-10.2500,1.8100,1.5033,1.5033
-10.2000,1.8100,1.5008,1.5008
-10.1500,1.7600,1.5042,1.5042
-10.1000,1.7600,1.5133,1.5133
-10.0500,1.7600,1.5207,1.5207
-10.0000,1.7600,1.5133,1.5133
-9.9500,1.7600,1.5042,1.5042
-9.9000,1.7100,1.5033,1.5033
-9.8500,1.7100,1.5075,1.5075
-9.8000,1.7100,1.5133,1.5133
-9.7500,1.7100,1.5133,1.5133
-9.7000,1.7100,1.5075,1.5075
-9.6500,1.6600,1.4916,1.4916
-9.6000,1.6600,1.5042,1.5042
-9.5500,1.6600,1.5133,1.5133
-9.5000,1.6100,1.4714,1.4714
-9.4500,1.6100,1.4807,1.4807
-9.4000,1.6100,1.4916,1.4916
-9.3500,1.6100,1.5042,1.5042
-9.3000,1.5600,1.4637,1.4637
-9.2500,1.5600,1.4714,1.4714
-9.2000,1.5600,1.4807,1.4807
-9.1500,1.5600,1.4916,1.4916
-9.1000,1.5600,1.5042,1.5042
-9.0500,1.5600,1.5133,1.5133
-9.0000,1.5100,1.4714,1.4714
-8.9500,1.5100,1.4807,1.4807
-8.9000,1.5100,1.4916,1.4916
-8.8500,1.5100,1.5033,1.5033
-8.8000,1.5100,1.5042,1.5042
-8.7500,1.5100,1.4916,1.4916
-8.7000,1.5100,1.4807,1.4807
-8.6500,1.5100,1.4714,1.4714
-8.6000,1.5100,1.4637,1.4637
-8.5500,1.4600,1.5042,1.5042
-8.5000,1.4600,1.5033,1.5033
-8.4500,1.4600,1.4916,1.4916
-8.4000,1.4600,1.4807,1.4807
-8.3500,1.4600,1.4714,1.4714
-8.3000,1.4100,1.5033,1.5033
-8.2500,1.4100,1.5075,1.5075
-8.2000,1.4100,1.5033,1.5033
-8.1500,1.3600,1.4714,1.4714
-8.1000,1.3600,1.4807,1.4807
-8.0500,1.3600,1.4916,1.4916
-8.0000,1.3600,1.5042,1.5042
-7.9500,1.3100,1.4637,1.4637
-7.9000,1.3100,1.4714,1.4714
-7.8500,1.3100,1.4807,1.4807
-7.8000,1.3100,1.4916,1.4916
-7.7500,1.3100,1.5033,1.5033
-7.7000,1.3100,1.5075,1.5075
-7.6500,1.2600,1.4637,1.4637
-7.6000,1.2600,1.4714,1.4714
-7.5500,1.2600,1.4807,1.4807
-7.5000,1.2600,1.4916,1.4916
-7.4500,1.2600,1.5008,1.5008
-7.4000,1.2600,1.4916,1.4916
-7.3500,1.2100,1.4577,1.4577
-7.3000,1.2100,1.4637,1.4637
-7.2500,1.2100,1.4714,1.4714
-7.2000,1.2100,1.4807,1.4807
-7.1500,1.2100,1.4916,1.4916
-7.1000,1.2100,1.4916,1.4916
-7.0500,1.2100,1.4807,1.4807
-7.0000,1.2100,1.4714,1.4714
-6.9500,1.2100,1.4637,1.4637
-6.9000,1.1600,1.4807,1.4807
-6.8500,1.1600,1.4916,1.4916
-6.8000,1.1600,1.4916,1.4916
-6.7500,1.1600,1.4807,1.4807
-6.7000,1.1600,1.4714,1.4714
-6.6500,1.1600,1.4637,1.4637
-6.6000,1.1600,1.4577,1.4577
-6.5500,1.1600,1.4534,1.4534
-6.5000,1.1100,1.5008,1.5008
-6.4500,1.1100,1.5000,1.5000
-6.4000,1.1100,1.5000,1.5000
-6.3500,1.1100,1.4916,1.4916
-6.3000,1.1100,1.4807,1.4807
-6.2500,1.1100,1.4714,1.4714
-6.2000,1.0600,1.5133,1.5133
-6.1500,1.0600,1.5075,1.5075
-6.1000,1.0600,1.5033,1.5033
-6.0500,1.0600,1.5008,1.5008
-6.0000,1.0600,1.5000,1.5000
-5.9500,1.0600,1.5000,1.5000
-5.9000,1.0600,1.5000,1.5000
-5.8500,1.0100,1.5403,1.5403
-5.8000,1.0100,1.5297,1.5297
-5.7500,1.0100,1.5207,1.5207
-5.7000,1.0100,1.5133,1.5133
-5.6500,1.0100,1.5075,1.5075
-5.6000,1.0100,1.5033,1.5033
-5.5500,0.9600,1.5508,1.5508
-5.5000,0.9600,1.5500,1.5500
-5.4500,0.9600,1.5508,1.5508
-5.4000,0.9600,1.5500,1.5500
-5.3500,0.9600,1.5500,1.5500
-5.3000,0.9600,1.5500,1.5500
-5.2500,0.9600,1.5403,1.5403
-5.2000,0.9100,1.5628,1.5628
-5.1500,0.9100,1.5700,1.5700
-5.1000,0.9100,1.5628,1.5628
-5.0500,0.9100,1.5572,1.5572
-5.0000,0.9100,1.5524,1.5524
-4.9500,0.8600,1.5572,1.5572
-4.9000,0.8600,1.5628,1.5628
-4.8500,0.8600,1.5700,1.5700
-4.8000,0.8600,1.5628,1.5628
-4.7500,0.8100,1.5403,1.5403
-4.7000,0.8100,1.5524,1.5524
-4.6500,0.7600,1.5133,1.5133
-4.6000,0.7600,1.5207,1.5207
-4.5500,0.7600,1.5297,1.5297
-4.5000,0.7600,1.5403,1.5403
-4.4500,0.7600,1.5524,1.5524
-4.4000,0.7100,1.5075,1.5075
-4.3500,0.7100,1.5133,1.5133
-4.3000,0.7100,1.5207,1.5207
-4.2500,0.6600,1.4807,1.4807
-4.2000,0.6600,1.4916,1.4916
-4.1500,0.6100,1.4560,1.4560
-4.1000,0.6100,1.4637,1.4637
-4.0500,0.5600,1.4221,1.4221
-4.0000,0.5600,1.4318,1.4318
-3.9500,0.5100,1.3946,1.3946
-3.9000,0.5100,1.4036,1.4036
-3.8500,0.5100,1.4080,1.4080
-3.8000,0.4600,1.3647,1.3647
-3.7500,0.4600,1.3730,1.3730
-3.7000,0.4100,1.3342,1.3342
-3.6500,0.4100,1.3463,1.3463
-3.6000,0.4100,1.3583,1.3583
-3.5500,0.4100,1.3647,1.3647
-3.5000,0.3600,1.3238,1.3238
-3.4500,0.3100,1.2855,1.2855
-3.4000,0.3100,1.2981,1.2981
-3.3500,0.3100,1.3038,1.3038
-3.3000,0.3100,1.3086,1.3086
-3.2500,0.3100,1.3153,1.3153
-3.2000,0.2600,1.2748,1.2748
-3.1500,0.2600,1.2855,1.2855
-3.1000,0.2600,1.2981,1.2981
-3.0500,0.2600,1.3086,1.3086
-3.0000,0.2600,1.3153,1.3153
-2.9500,0.2100,1.2748,1.2748
-2.9000,0.2100,1.2855,1.2855
-2.8500,0.2100,1.2981,1.2981
-2.8000,0.2100,1.3038,1.3038
-2.7500,0.2100,1.2981,1.2981
-2.7000,0.2100,1.2855,1.2855
-2.6500,0.2100,1.2748,1.2748
-2.6000,0.2100,1.2659,1.2659
-2.5500,0.2100,1.2590,1.2590
-2.5000,0.2100,1.2540,1.2540
-2.4500,0.2100,1.2510,1.2510
-2.4000,0.2100,1.2500,1.2500
-2.3500,0.1600,1.3000,1.3000
-2.3000,0.1600,1.3000,1.3000
-2.2500,0.1600,1.3010,1.3010
-2.2000,0.1600,1.3038,1.3038
-2.1500,0.1600,1.3086,1.3086
